partner,course,skills,rating,reviewcount,level,certificatetype,duration,crediteligibility
Microsoft,Introduction to Computers and Operating Systems and Security,"{"" Cloud Computing"","" Computer Architecture"","" Operating Systems""}",4.8,441,Beginner , Course , 1 - 4 Weeks,false
Universiteit Leiden,Miracles of Human Language: An Introduction to Linguistics,"{""(2.3k reviews)""}",4.7,2.3k,Beginner , Course , 1 - 3 Months,false
Duke University,Introductory C Programming,"{"" Python Programming"","" Computer Programming"","" C Programming Language Family"","" Algorithms"","" Computational Logic"","" Critical Thinking"","" Problem Solving"","" Process Analysis"","" Programming Principles"","" Computer Programming Tools"","" Data Visualization"","" Theoretical Computer Science"","" Computational Thinking"","" Software Testing"","" Writing"","" Software Engineering"","" User Experience""}",4.6,7.1k,Beginner , Specialization , 3 - 6 Months,false
Stanford University,Antibiotic Stewardship,"{""(461 reviews)""}",4.6,461,Advanced , Course , 1 - 3 Months,false
Politecnico di Milano,Artificial Intelligence: an Overview,"{"" Machine Learning"","" Leadership and Management"","" Algorithms"","" Machine Learning Algorithms"","" Human Computer Interaction"","" Human Learning"","" Regulations and Compliance"","" Reinforcement Learning"","" Computational Thinking"","" Critical Thinking"","" Strategy"","" Planning""}",4.5,185,Beginner , Specialization , 3 - 6 Months,false
Meta,Social Media Management,"{"" Brand Management"","" Digital Marketing"","" Marketing"","" Media Strategy & Planning"","" Social Media"","" Strategy and Operations"","" Advertising"","" Communication"","" Creativity"","" Leadership and Management"","" Planning""}",4.9,4.5k,Beginner , Course , 1 - 4 Weeks,false
"University of California, Irvine",The Pronunciation of American English,"{"" Communication""}",4.8,963,Beginner , Specialization , 3 - 6 Months,false
University of Pennsylvania,AI Applications in Marketing and Finance,"{"" Business Analysis"","" Machine Learning"","" Customer Analysis"","" Finance"","" Financial Accounting"","" Marketing"","" Probability & Statistics"","" Statistical Machine Learning"","" User Experience""}",4.7,147,Mixed , Course , 1 - 4 Weeks,false
IIMA - IIM Ahmedabad,Pre-MBA Statistics,"{"" Data Analysis"","" Data Science"","" General Statistics""}",4.5,143,Beginner , Course , 1 - 3 Months,false
Duke University,Dog Emotion and Cognition,"{""(4.5k reviews)""}",4.7,4.5k,Mixed , Course , 1 - 3 Months,false
University of Geneva,Vivre avec le TDAH à travers les âges,"{""(70 reviews)""}",4.9,70,Beginner , Course , 1 - 3 Months,false
IBM,Hands-on Introduction to Linux Commands and Shell Scripting,"{"" Linux""}",4.7,933,Beginner , Course , 1 - 4 Weeks,false
"University of California, Irvine",An Introduction to Programming the Internet of Things (IOT),"{"" Internet Of Things"","" Computer Programming"","" Computer Programming Tools"","" Hardware Design"","" Computer Networking"","" Programming Principles"","" Networking Hardware"","" Python Programming"","" System Programming"","" Communication"","" Computational Thinking"","" Computer Architecture"","" Operating Systems"","" Microarchitecture"","" Systems Design"","" C Programming Language Family"","" Human Computer Interaction"","" Network Architecture"","" Problem Solving"","" C++ Programming"","" Application Development"","" Graphics Software"","" Network Model"","" Other Programming Languages"","" Software-Defined Networking""}",4.7,19.6k,Beginner , Specialization , 3 - 6 Months,false
Salesforce,Sales and CRM Overview,"{"" Customer Relationship Management"","" Sales"","" Databases"","" Sales Systems"","" Salesforce"","" B2B Sales"","" Customer Success"","" Leadership and Management"","" Marketing"","" Operations Management""}",4.5,826,Beginner , Course , 1 - 4 Weeks,false
Microsoft,Harnessing the Power of Data with Power BI,"{"" Data Analysis"","" Extract"","" Transform"","" Load"","" Power BI""}",4.5,201,Beginner , Course , 1 - 4 Weeks,false
University of London,Finding Your Professional Voice: Confidence & Impact,"{"" Communication""}",4.8,237,Beginner , Course , 1 - 4 Weeks,false
Google,Fundamentos de la ciberseguridad,"{"" Python Programming"","" SQL""}",4.9,887,Beginner , Course , 1 - 4 Weeks,false
Imperial College London,Creative Thinking: Techniques and Tools for Success,"{"" Creativity"","" Problem Solving""}",4.7,4k,Beginner , Course , 1 - 3 Months,false
University of Michigan,Leading Diverse Teams & Organizations,"{"" Communication"","" Leadership and Management""}",4.8,326,Beginner , Course , 1 - 4 Weeks,false
"University of California, Irvine",Learn English: Intermediate Grammar,"{"" Writing"","" Communication""}",4.8,5.1k,Intermediate , Specialization , 3 - 6 Months,false
University of Geneva,International Organizations Management,"{"" Entrepreneurship"","" Leadership and Management"","" Business Psychology"","" Organizational Development"","" Collaboration"","" Communication"","" Marketing"","" Sales"","" Strategy"","" Strategy and Operations""}",4.8,1.7k,Beginner , Course , 1 - 3 Months,false
"University of California, Irvine",Programming with Google Go,"{"" Computer Programming"","" Programming Principles"","" Software Engineering"","" Theoretical Computer Science"","" Computational Thinking"","" Critical Thinking"","" Algorithms"","" Data Structures"","" Problem Solving"","" Computational Logic"","" Computer Programming Tools"","" Operating Systems"","" Software Architecture"","" System Software"","" Application Development"","" Computer Architecture""}",4.6,2.7k,Intermediate , Specialization , 3 - 6 Months,false
University of Pennsylvania,Microeconomics: The Power of Markets,"{"" Problem Solving"","" Market Analysis"","" Behavioral Economics"","" Business Analysis"","" Decision Making"","" Finance"","" Market Research"","" Mathematics"","" Econometrics""}",4.7,1.4k,Mixed , Course , 1 - 3 Months,false
Rice University,Fundamentals of Computing,"{"" Computer Programming"","" Python Programming"","" Programming Principles"","" Mathematics"","" Algorithms"","" Computational Logic"","" Computational Thinking"","" Computer Programming Tools"","" Critical Thinking"","" Problem Solving"","" Theoretical Computer Science"","" Visualization (Computer Graphics)"","" Computer Graphics"","" Data Structures"","" Graph Theory"","" Probability & Statistics"","" Combinatorics""}",4.8,4k,Beginner , Specialization , 3 - 6 Months,false
IBM,Getting Started with Git and GitHub,"{"" Collaboration"","" Leadership and Management"","" Mergers & Acquisitions"","" Software Engineering"","" Software Engineering Tools""}",4.7,673,Beginner , Course , 1 - 4 Weeks,false
Intuit,Assets in Accounting,"{"" Accounting"","" General Accounting"","" Accounts Payable and Receivable"","" Cost Accounting"","" Finance"","" Financial Accounting"","" Financial Management"","" Inventory Management""}",4.4,836,Beginner , Course , 1 - 4 Weeks,false
DeepLearning.AI,AI and Public Health,"{"" Artificial Neural Networks"","" Exploratory Data Analysis"","" Python Programming""}",4.8,117,Beginner , Course , 1 - 4 Weeks,false
Universidad Nacional Autónoma de México,IA generativa en el aula,"{""(21 reviews)""}",4.9,21,Beginner , Course , 1 - 4 Weeks,false
Georgia Institute of Technology,Introduction to User Experience Design,"{"" User Experience"","" User Experience Design"","" User Research"","" Customer Analysis"","" Design and Product"","" Interactive Design"","" Product Design"","" Research and Design"","" Human Computer Interaction"","" Product Development""}",4.5,8k,Beginner , Course , 1 - 3 Months,false
Yale University,Moral Foundations of Politics,"{"" Critical Thinking""}",4.9,5.5k,Mixed , Course , 1 - 3 Months,false
Google,Satisfaction Guaranteed: Develop Customer Loyalty Online,"{"" Digital Marketing"","" Marketing"","" Sales"","" E-Commerce"","" Social Media""}",4.8,2.1k,Beginner , Course , 1 - 4 Weeks,false
University of Pennsylvania,Business Strategies for A Better World,"{"" Strategy"","" Critical Thinking"","" Strategy and Operations"","" Leadership and Management"","" Decision Making"","" Business Analysis"","" Business Development"","" Entrepreneurship"","" People Development"","" Business Psychology"","" Business Transformation"","" Data Analysis"","" Organizational Development"","" People Analysis"","" Problem Solving"","" Business Process Management"","" Financial Analysis"","" General Statistics"","" Geostatistics"","" Planning"","" Human Learning"","" Regulations and Compliance"","" Basic Descriptive Statistics"","" Finance"","" Operations Management"","" Statistical Analysis""}",4.7,1.7k,Beginner , Specialization , 3 - 6 Months,false
DeepLearning.AI,AI for Medical Diagnosis,"{"" Machine Learning"","" Artificial Neural Networks"","" Deep Learning"","" Python Programming"","" Statistical Programming""}",4.7,1.9k,Intermediate , Course , 1 - 4 Weeks,false
University of Colorado Boulder,Advanced Embedded Linux Development,"{"" Computer Programming"","" Operating Systems"","" System Software"","" Linux"","" Agile Software Development""}",4.0,49,Intermediate , Specialization , 1 - 3 Months,true
Michigan State University,Game Design and Development with Unity 2020,"{"" User Experience"","" Game Theory"","" Design and Product"","" Interactive Design"","" Software Engineering"","" User Experience Design"","" Computer Graphics"","" Computer Programming"","" Graphic Design"","" Software Engineering Tools"","" Creativity"","" Human Computer Interaction"","" Storytelling"","" Visual Design"","" Product Development""}",4.7,509,Beginner , Specialization , 3 - 6 Months,false
University of Colorado Boulder,Embedding Sensors and Motors,"{"" Operations Management""}",4.6,2.6k,Intermediate , Specialization , 3 - 6 Months,true
Rice University,"Introduction to Biology: Ecology, Evolution, & Biodiversity","{""(79 reviews)""}",4.9,79,Beginner , Specialization , 3 - 6 Months,false
Google,The Power of Statistics,"{"" General Statistics"","" Probability Distribution"","" Python Programming"","" Statistical Analysis""}",4.8,287,Advanced , Course , 1 - 3 Months,false
University of Colorado System,C# Programming for Unity Game Development,"{"" Computer Programming"","" Programming Principles"","" Problem Solving"","" Software Engineering"","" C Programming Language Family"","" Computer Programming Tools"","" Critical Thinking"","" Leadership and Management"","" Mathematics"","" Data Structures""}",4.6,2.5k,Beginner , Specialization , 3 - 6 Months,false
Google Cloud,Advanced Machine Learning on Google Cloud,"{"" Machine Learning"","" Google Cloud Platform"","" Applied Machine Learning"","" Human Learning"","" Machine Learning Algorithms"","" Natural Language Processing"","" Machine Learning Software"","" Cloud Computing"","" Artificial Neural Networks"","" Tensorflow"","" Cloud Platforms""}",4.5,1.4k,Advanced , Specialization , 3 - 6 Months,false
Stanford University,Palliative Care Always,"{"" Communication"","" Planning""}",4.6,89,Beginner , Specialization , 3 - 6 Months,false
Georgia Institute of Technology,Supply Chain Principles,"{"" Leadership and Management"","" Supply Chain Systems"","" Supply Chain and Logistics"","" Operations Management"","" Strategy and Operations"","" Inventory Management"","" Planning"","" Transportation Operations Management"","" Material Handling"","" Procurement"","" Supplier Relationship Management"","" Warehouse Management""}",4.6,2k,Mixed , Course , 1 - 3 Months,false
University of London,Understanding Research Methods,"{"" Planning"","" Writing""}",4.6,7.1k,Mixed , Course , 1 - 4 Weeks,false
Macquarie University,Leading: Human Resource Management and Leadership,"{"" Leadership and Management"","" Human Resources"","" Strategy and Operations"","" Strategy"","" Entrepreneurship"","" Business Psychology"","" Organizational Development"","" People Management"","" Correlation And Dependence"","" Marketing"","" Business Process Management"","" Communication"","" Culture"","" Employee Relations"","" Exploratory Data Analysis"","" Leadership Development"","" People Development"","" Decision Making"","" Research and Design"","" Adaptability"","" Brand Management"","" Human Learning"","" Human Resources Operations"","" Conflict Management"","" Collaboration""}",4.8,3.3k,Intermediate , Specialization , 3 - 6 Months,false
Duke University,Oil & Gas Industry Operations and Markets,"{""(5.7k reviews)""}",4.8,5.7k,Mixed , Course , 1 - 4 Weeks,false
Imperial College London,Mathematics for Machine Learning: Linear Algebra,"{"" Algebra"","" Linear Algebra"","" Mathematics"","" Python Programming"","" Computer Programming"","" Machine Learning Algorithms"","" Problem Solving"","" Algorithms"","" Computer Programming Tools"","" Machine Learning""}",4.7,11.8k,Beginner , Course , 1 - 3 Months,false
"University of California, Irvine",IELTS Preparation,"{"" Strategy"","" Writing""}",4.6,1.5k,Beginner , Specialization , 1 - 3 Months,false
Google Cloud,Developing APIs with Google Cloud's Apigee API Platform,"{"" Google Cloud Platform"","" Cloud API"","" Cloud Computing"","" Computer Programming"","" Computer Programming Tools"","" Software Engineering"","" Cloud Applications"","" Software Architecture"","" Software Engineering Tools"","" Leadership and Management""}",4.7,2.8k,Intermediate , Specialization , 3 - 6 Months,false
Universiteit Leiden,International Law In Action: Investigating and Prosecuting International Crimes,"{""(612 reviews)""}",4.8,612,Mixed , Course , 1 - 3 Months,false
Berklee,How to Play Guitar,"{"" Creativity""}",4.7,2.5k,Beginner , Specialization , 3 - 6 Months,false
University of Colorado Boulder,Databases for Data Scientists,"{"" Databases"","" Data Management"","" SQL"","" Database Design"","" Database Administration"","" Data Model"","" Database Theory"","" PostgreSQL"","" Critical Thinking"","" Database Application"","" Problem Solving"","" Data Analysis"","" Data Structures"","" Decision Making"","" Big Data"","" NoSQL"","" Data Science"","" Data Warehousing""}",4.7,647,Beginner , Specialization , 3 - 6 Months,true
University of Pennsylvania,Introduction to Python Programming,"{"" Python Programming"","" Computer Programming"","" Programming Principles"","" Computational Logic"","" Computational Thinking"","" Computer Programming Tools"","" Critical Thinking"","" Problem Solving"","" Data Structures""}",4.5,998,Beginner , Course , 1 - 4 Weeks,false
Universidad Nacional Autónoma de México,Contabilidad para no contadores,"{"" Accounting"","" Finance"","" Financial Accounting"","" General Accounting"","" Accounts Payable and Receivable"","" Business Analysis"","" Financial Analysis"","" Operational Analysis"","" Planning"","" Calculus""}",4.8,8.6k,Beginner , Course , 1 - 3 Months,false
University of Colorado Boulder,Introduction to Embedded Systems Software and Development Environments,"{"" C Programming Language Family"","" Computer Architecture"","" Computer Programming"","" Computer Programming Tools"","" Software Engineering"","" Microarchitecture"","" Software Architecture"","" Software Engineering Tools"","" System Software"","" Systems Design""}",4.5,593,Intermediate , Course , 1 - 4 Weeks,false
Rice University,Spanish for Successful Communication in Healthcare Settings,"{"" Communication""}",4.8,273,Intermediate , Course , 1 - 3 Months,false
Università Bocconi,International Leadership and Organizational Behavior,"{"" Leadership and Management"","" Business Psychology"","" Culture"","" Human Resources"","" Communication"","" Entrepreneurship"","" Leadership Development"","" Organizational Development"","" Conflict Management""}",4.8,3.1k,Mixed , Course , 1 - 3 Months,false
University of Pennsylvania,Introduction to Spreadsheets and Models,"{"" Data Analysis"","" Forecasting"","" General Statistics"","" Microsoft Excel"","" Spreadsheet Software"","" Statistical Analysis"","" Basic Descriptive Statistics"","" Business Analysis"","" Statistical Tests"","" Correlation And Dependence"","" Computer Programming""}",4.2,3.7k,Mixed , Course , 1 - 4 Weeks,false
University of Colorado Boulder,"Concepts, Strategies, and Analytics in Performance Marketing and Digital Advertising","{"" Advertising"","" Advertising Sales"","" Digital Marketing"","" Google App Engine"","" Market Research"","" Marketing"","" Search Engine Optimization"","" E-Commerce"","" Marketing Management"","" Strategy"","" Social Media""}",4.5,650,Beginner , Specialization , 3 - 6 Months,false
University of Pennsylvania,Improving Communication Skills,"{"" Communication"","" Negotiation""}",4.7,1.9k,Beginner , Course , 1 - 4 Weeks,false
Digital Marketing Institute,Social Media Marketing in Practice,"{"" Marketing"","" Communication"","" Digital Marketing"","" Social Media"","" Strategy"","" Media Strategy & Planning"","" Brand Management"","" Advertising"","" Strategy and Operations"","" Leadership and Management"","" Influencing"","" Marketing Management"","" Problem Solving""}",4.5,316,Beginner , Specialization , 3 - 6 Months,false
IE Business School,Marketing Mix Implementation,"{"" Marketing"","" Product Strategy"","" Strategy"","" Customer Analysis"","" Market Analysis"","" Retail Sales"","" Strategy and Operations"","" Brand Management"","" Leadership and Management"","" Customer Relationship Management"","" Product Management"","" Sales"","" Business Development"","" Communication"","" Market Research"","" Marketing Management"","" Retail Store Operations"","" Supply Chain and Logistics"","" Advertising"","" Business Analysis"","" Business Psychology"","" Cost Accounting"","" Design and Product"","" Media Strategy & Planning"","" Finance"","" Marketing Psychology"","" Public Relations""}",4.7,5.6k,Beginner , Specialization , 3 - 6 Months,false
Georgia Institute of Technology,Introduction to Electronics,"{"" Problem Solving""}",4.7,2.4k,Mixed , Course , 1 - 3 Months,false
University of Manchester   ,Industrial Biotechnology,"{""(3.1k reviews)""}",4.7,3.1k,Beginner , Course , 1 - 3 Months,false
SAS,SAS Visual Business Analytics,"{"" Data Analysis"","" Data Visualization"","" SAS (Software)"","" Interactive Data Visualization"","" Business Analysis"","" Data Analysis Software"","" Statistical Visualization"","" Data Management"","" Statistical Programming"","" Data Visualization Software"","" Business Intelligence"","" Exploratory Data Analysis"","" Data Structures"","" Statistical Analysis"","" Visualization (Computer Graphics)"","" Computer Graphics"","" Network Analysis"","" Algorithms"","" Forecasting""}",4.7,1.1k,Beginner , Professional Certificate , 3 - 6 Months,false
Google,Fundamentos del marketing digital y comercio electrónico,"{"" E-Commerce"","" Marketing"","" Strategy""}",4.9,595,Beginner , Course , 1 - 4 Weeks,false
University of Minnesota,Information​ ​Systems,"{"" Business Process Management"","" Leadership and Management"","" Strategy and Operations"","" Business Transformation"","" Project Management"","" Business Analysis"","" Data Management"","" Product Management"","" Business Development"","" Planning"","" Process Analysis"","" Software As A Service"","" Business Design"","" Communication"","" Organizational Development"","" Risk Management"","" Agile Software Development"","" Cloud Computing"","" Operations Management"","" Systems Design"","" Cloud Load Balancing"","" Computer Architecture"","" Design and Product"","" Security Engineering"","" Software-Defined Networking"","" Supply Chain and Logistics"","" BlockChain"","" Cloud Storage"","" Machine Learning Algorithms"","" Mobile Security"","" Operating Systems""}",4.8,1.8k,Beginner , Specialization , 3 - 6 Months,false
Stanford University,Fundamentals of Machine Learning for Healthcare,"{"" Machine Learning""}",4.8,352,Beginner , Course , 1 - 3 Months,false
University of Toronto,Learn to Program: The Fundamentals,"{"" Computer Programming"","" Python Programming"","" Computational Logic"","" Problem Solving"","" Programming Principles"","" Computer Programming Tools"","" Critical Thinking"","" Computational Thinking"","" Algorithms"","" Mathematics""}",4.7,6.3k,Beginner , Course , 1 - 3 Months,false
Università Bocconi,Food & Beverage Management,"{"" Design and Product"","" Marketing"","" Business Analysis"","" Customer Analysis"","" Product Marketing"","" Product Strategy"","" Brand Management"","" Leadership and Management"","" Market Analysis"","" Sales"","" Strategy"","" Strategy and Operations""}",4.8,4.3k,Mixed , Course , 1 - 3 Months,false
DeepLearning.AI,AI For Everyone （すべての人のためのAIリテラシー講座）,"{"" Applied Machine Learning"","" Deep Learning"","" Machine Learning"","" Machine Learning Software"","" Business Analysis"","" Business Process Management"","" Data Analysis"","" Human Learning"","" Machine Learning Algorithms"","" Algorithms""}",4.8,245,Beginner , Course , 1 - 3 Months,false
University of London,Introduction to English Common Law,"{""(1.7k reviews)""}",4.8,1.7k,Beginner , Course , 1 - 3 Months,false
Red Hat,Linux and Private Cloud Administration on IBM Power Systems,"{"" Computer Architecture"","" Cloud Computing"","" IBM Cloud"","" Cloud Platforms"","" Operating Systems"","" Cloud Infrastructure"","" Cloud Management"","" Other Cloud Platforms and Tools"","" Systems Design"","" Computer Networking"","" Linux""}",4.8,930,Intermediate , Specialization , 3 - 6 Months,false
Google,Google Cybersecurity,"{""""}",None,None,"",None,None,false
Google,Suporte em TI do Google,"{"" Computer Networking"","" Network Security"","" Communication"","" Computer Architecture"","" Customer Support"","" Operating Systems"","" Network Architecture"","" Networking Hardware"","" Security Engineering"","" Network Model"","" Cloud Computing"","" Software As A Service"","" System Security"","" System Software"","" Network Analysis"","" Software Security"","" Human Computer Interaction"","" Cryptography"","" Leadership and Management"","" Security Software"","" Problem Solving"","" Computer Security Incident Management"","" Linux"","" Machine Learning Software""}",4.9,6.1k,Beginner , Professional Certificate , 3 - 6 Months,false
University of Colorado Boulder,Project Management: Foundations and Initiation,"{"" Leadership and Management"","" Project Management"","" Planning"","" Strategy and Operations"","" People Management"","" Performance Management"","" Product Management"","" Business Communication"","" Business Process Management"","" Strategy""}",4.8,300,Beginner , Course , 1 - 4 Weeks,false
Universiteit Leiden,Terrorism and Counterterrorism: Comparing Theory and Practice,"{""(3.1k reviews)""}",4.8,3.1k,Beginner , Course , 1 - 3 Months,false
Georgia Institute of Technology,Fundamentals of Engineering Exam Review,"{""(602 reviews)""}",4.7,602,Mixed , Course , 1 - 3 Months,false
London Business School,Future Ready Company,"{""Intermediate · Specialization · 3 - 6 Months""}",None,None,Intermediate , Specialization , 3 - 6 Months,false
Tally Education,Tally Bookkeeper,"{"" Accounting Software"","" Accounting"","" Finance"","" Financial Accounting"","" General Accounting"","" Data Management"","" Taxes"","" Billing & Invoicing"","" Cash Management"","" Cost Accounting"","" Inventory Management"","" Supply Chain and Logistics"","" Financial Management"","" Payments"","" Accounts Payable and Receivable"","" Business Analysis"","" Data Analysis"","" Financial Analysis"","" Banking"","" Budget Management"","" Corporate Accouting"","" Data Architecture"","" Shipping and Receiving""}",4.5,94,Beginner , Professional Certificate , 3 - 6 Months,false
Google,Using Python to Interact with the Operating System,"{"" Computer Programming"","" Python Programming""}",4.7,5.9k,Beginner , Course , 1 - 3 Months,false
University of Minnesota,Integrative Health and Medicine,"{"" Leadership and Management""}",4.8,1.6k,Beginner , Specialization , 3 - 6 Months,false
Universiteit Leiden,International Law in Action: the Arbitration of International Disputes,"{""(1.1k reviews)""}",4.8,1.1k,Mixed , Course , 1 - 3 Months,false
IBM,DataOps Methodology,"{"" Data Management"","" Leadership and Management"","" Data Analysis"","" Data Architecture"","" Data Model""}",4.7,38,Beginner , Course , 1 - 3 Months,false
University of London,Introduction to Computer Science and Programming,"{"" Mathematical Theory & Analysis"","" Mathematics"","" Problem Solving"","" Algebra"","" Calculus"","" Computer Networking"","" Applied Mathematics"","" Critical Thinking"","" Theoretical Computer Science"","" Computer Programming"","" Javascript""}",4.2,1.4k,Beginner , Specialization , 3 - 6 Months,false
IBM,"Cybersecurity Roles, Processes & Operating System Security","{"" Cloud Computing"","" Linux"","" Operating Systems"","" System Security""}",4.6,5.2k,Beginner , Course , 1 - 3 Months,false
Northwestern University,Sports Marketing,"{"" Communication"","" Marketing""}",4.7,1.2k,Intermediate , Course , 1 - 3 Months,false
Meta,Version Control,"{"" Collaboration"","" Linux"","" Software Engineering"","" Software Engineering Tools"","" Web Development""}",4.6,2.5k,Beginner , Course , 1 - 4 Weeks,false
Michigan State University,Become a Journalist: Report the News!,"{"" Journalism"","" Communication"","" Writing""}",4.7,1.6k,Beginner , Specialization , 3 - 6 Months,false
IBM,Introduction to Deep Learning & Neural Networks with Keras,"{"" Algorithms"","" Artificial Neural Networks"","" Deep Learning"","" Human Learning"","" Machine Learning"","" Machine Learning Algorithms"","" Network Model"","" Applied Machine Learning"","" Network Architecture"","" Python Programming"","" Regression""}",4.7,1.4k,Intermediate , Course , 1 - 3 Months,false
MedCerts,Professionalism in Allied Health,"{"" Communication"","" Leadership and Management""}",4.8,97,Beginner , Course , 1 - 3 Months,false
Duke University,"Python, Bash and SQL Essentials for Data Engineering","{"" Computer Programming"","" Programming Principles"","" Python Programming"","" Computer Programming Tools"","" Data Management"","" Data Structures"","" Cloud Applications"","" Databases"","" Software Engineering Tools"","" SQL"","" Exploratory Data Analysis"","" Operating Systems"","" Amazon Web Services"","" Data Analysis"","" Extract"","" Transform"","" Load"","" Cloud Engineering"","" Cloud Platforms"","" DevOps"","" Machine Learning"","" Problem Solving"","" Small Data"","" Big Data"","" Computational Logic"","" Linux"","" Database Application""}",4.5,298,Beginner , Specialization , 3 - 6 Months,false
Vanderbilt University,Introduction to Programming with MATLAB,"{"" Computer Programming"","" Matlab"","" Problem Solving"","" Programming Principles""}",4.8,17.3k,Beginner , Course , 1 - 3 Months,false
Stanford University,Introduction to Clinical Data,"{"" Data Analysis"","" Data Mining""}",4.6,250,Beginner , Course , 1 - 3 Months,false
Yale University,American Contract Law I,"{"" Contract Management""}",4.9,856,Beginner , Course , 1 - 3 Months,false
University of Michigan,Data Collection and Processing with Python,"{"" Computer Programming"","" Python Programming""}",4.7,3.8k,Intermediate , Course , 1 - 4 Weeks,false
Coursera Project Network,Wireshark for Beginners: Capture Packets,"{""(46 reviews)""}",4.8,46,Beginner , Guided Project , Less Than 2 Hours,false
University of Alberta,Fundamentals of Reinforcement Learning,"{"" Machine Learning"","" Reinforcement Learning"","" Machine Learning Algorithms"","" Python Programming"","" Statistical Programming"","" Computer Programming"","" Decision Making""}",4.8,2.7k,Intermediate , Course , 1 - 3 Months,false
Copenhagen Business School,Strategic Management and Innovation,"{"" Leadership and Management"","" Strategy"","" Strategy and Operations"","" Business Development"","" Organizational Development"","" Decision Making"","" Marketing"","" Planning"","" Entrepreneurship"","" Sales"","" Business Transformation"","" Communication"","" Product Strategy"","" Business Analysis"","" Operations Management"","" Collaboration"","" Employee Relations"","" Innovation""}",4.7,4.8k,Beginner , Specialization , 3 - 6 Months,false
"University of California, Davis",Computational Social Science,"{"" Big Data"","" Computational Thinking"","" Data Analysis"","" Machine Learning"","" Human Learning"","" Network Analysis"","" Machine Learning Algorithms"","" Social Media"","" Critical Thinking"","" Data Management"","" Natural Language Processing"","" Algorithms"","" Exploratory Data Analysis"","" Network Architecture"","" Network Model"","" Probability & Statistics"","" Theoretical Computer Science"","" Applied Machine Learning"","" Computer Networking"","" Computer Programming"","" Data Model"","" Statistical Machine Learning"","" General Statistics"","" Graph Theory""}",4.6,914,Beginner , Specialization , 3 - 6 Months,false
CompTIA,CompTIA a+_ cyber,"{"" Cloud Computing"","" Cyberattacks"","" Data Management"","" Human Computer Interaction"","" Network Security"","" Operating Systems""}",4.5,11,Beginner , Specialization , 1 - 3 Months,false
Google,Google Project Management:,"{""""}",None,None,"",None,None,false
University of Colorado Boulder,Advanced Business Analytics,"{"" Data Analysis"","" Business Analysis"","" Exploratory Data Analysis"","" Statistical Analysis"","" Data Management"","" Probability & Statistics"","" Data Model"","" Decision Making"","" Data Analysis Software"","" General Statistics"","" Statistical Visualization"","" Data Visualization"","" Correlation And Dependence"","" Mathematics"","" Regression"","" Business Intelligence"","" Mathematical Theory & Analysis"","" Business Communication"","" Communication"","" Data Structures"","" Databases"","" Plot (Graphics)"","" Database Application"","" Extract"","" Transform"","" Load"","" SQL"","" Machine Learning""}",4.6,5k,Intermediate , Specialization , 3 - 6 Months,false
"University of California, Davis",Fundamentals of GIS,"{"" ArcGIS"","" Data Visualization"","" GIS Software"","" Data Visualization Software"","" Databases"","" Geovisualization"","" Interactive Data Visualization""}",4.8,5.4k,Beginner , Course , 1 - 4 Weeks,false
IE Business School,Making Architecture,"{"" Creativity""}",4.8,1.3k,Beginner , Course , 1 - 4 Weeks,false
University of Geneva,Développement psychologique de l'enfant,"{""(641 reviews)""}",4.9,641,Beginner , Course , 1 - 3 Months,false
DeepLearning.AI,Natural Language Processing with Attention Models,"{"" Artificial Neural Networks"","" Deep Learning"","" Natural Language Processing"","" Machine Learning"","" Python Programming"","" Statistical Programming""}",4.4,931,Intermediate , Course , 1 - 4 Weeks,false
University of Virginia,How Things Work: An Introduction to Physics,"{"" Critical Thinking"","" Experiment"","" Problem Solving"","" Angular"","" Mathematical Theory & Analysis"","" Scientific Visualization"","" Deep Learning"","" Feature Engineering"","" Reinforcement Learning""}",4.8,2.8k,Intermediate , Course , 1 - 3 Months,false
Google,Aspectos básicos del diseño de la experiencia del usuario,"{"" Research and Design"","" User Experience"","" User Experience Design"","" Leadership and Management"","" Persona Research"","" Collaboration"","" Communication"","" Graphic Design"","" User Research"","" Visual Design""}",4.9,2.6k,Beginner , Course , 1 - 4 Weeks,false
University of Illinois at Urbana-Champaign,Object-Oriented Data Structures in C++,"{"" C Programming Language Family"","" Computer Programming"","" Data Structures"","" Theoretical Computer Science""}",4.7,2.9k,Intermediate , Course , 1 - 4 Weeks,false
University of Pennsylvania,Entrepreneurship 1: Developing the Opportunity,"{"" Entrepreneurship"","" Planning"","" Strategy"","" Business Design"","" Business Development"","" Critical Thinking"","" Innovation"","" Market Research"","" Product Strategy"","" User Research""}",4.8,4.1k,Mixed , Course , 1 - 3 Months,false
Case Western Reserve University,Inspired Leadership,"{"" Leadership and Management"","" Communication"","" Emotional Intelligence"","" Leadership Development"","" Influencing"","" Human Resources"","" Change Management"","" Critical Thinking"","" Business Psychology"","" Organizational Development"","" Strategy"","" Collaboration"","" Entrepreneurship"","" Human Learning"","" Professional Development"","" Strategy and Operations"","" Marketing"","" People Analysis"","" Negotiation""}",4.7,2.3k,Intermediate , Specialization , 3 - 6 Months,false
Macquarie University,Excel Skills for Business: Intermediate I,"{"" Business Analysis"","" Data Analysis"","" Microsoft Excel"","" Spreadsheet Software"","" Plot (Graphics)"","" Databases""}",4.9,16.5k,Intermediate , Course , 1 - 3 Months,false
